h_cty,w_cty,total jobs,h_lat,h_lon,h_cityname,UZA Population,Modes,Year,Trip_Count,ctyname,w_lat,w_lon
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5935604,-77.1275936
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6569247,-77.107508
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6268595,-77.1497371
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6364339,-77.1281334
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6320645,-77.1391965
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6366806,-77.1423869
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6293522,-77.131237
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6668487,-77.1154463
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6187602,-77.1432808
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6355621,-77.1159842
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6060882,-77.1374305
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.598696,-77.1307313
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.630612,-77.1493619
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.644099,-77.129667
